,summer song,summer artist,year summer,winter song,winter artist,year winter
2166,I Want To Come Over, Melissa Etheridge,1996,"Space Jam (From ""Space Jam"")", Quad City DJ's,1996
2167,Wrong, Everything But The Girl,1996,I Like It, The Blackout Allstars,1996
2168,5 OClock, Nonchalant,1996,Floatin On Your Love, The Isley Brothers Featuring Angela Winbush,1996
2169,"Scarred (From ""Eddie"")", Luke,1996,Desperately Wanting, Better Than Ezra,1996
2170,Chains, Tina Arena,1996,Its Your Body, Johnny Gill Featuring Roger Troutman,1996
2171,"A Thin Line Between Love & Hate (From ""A Thin Line..."")", H-Town,1996,Jellyhead, CRUSH,1996
2172,In The Meantime, Spacehog,1996,I Luv U Baby, The Original,1996
2173,Aint Nobody/Kissing You, Faith Evans,1996,Lets Ride, Richie Rich,1996
2174,Ill Never Stop Loving You, J'Son,1996,Nowhere To Go, Melissa Etheridge,1996
2175,Cant Get You Off My Mind, Lenny Kravitz,1996,Hero Of The Day, Metallica,1996
2176,Dont Wanna Lose You, Lionel Richie,1996,Dance Into The Light, Phil Collins,1996
2177,Lady, D'Angelo,1996,"That Thing You Do! (From ""That Thing You Do!"")", The Wonders,1996
2178,House Keeper, Men Of Vizion,1996,Tonight Is The Night, Le Click,1996
2179,One More Try, Kristine W,1996,Ready To Go, Republica,1996
2180,Amish Paradise," ""Weird Al"" Yankovic",1996,You Can Make History (Young Again), Elton John,1996
2181,I Will Survive, Chantay Savage,1996,All I Want, Susanna Hoffs,1996
2182,You Said, Mona Lisa,1996,Macarena Christmas, Los Del Rio,1996
2183,Only Happy When It Rains, Garbage,1996,At Night I Pray, Wild Orchid,1996
2184,Shadowboxin, Genius/GZA Featuring Method Man,1996,One And One, Robert Miles Featuring Maria Nayler,1996
2185,Live And Die For Hip Hop, Kris Kross,1996,Sugar Honey Ice Tea, Goodfellaz,1996
2186,Boom Biddy Bye Bye, Cypress Hill,1996,Hit Me Off, New Edition,1996
2187,My Maria, Brooks & Dunn,1996,Every Light In The House, Trace Adkins,1996
2188,"Guilty (From ""Seven"")", Gravity Kills,1996,Birmingham, Amanda Marshall,1996
2189,For The Love Of You, Jordan Hill,1996,I Can Make It Better, Luther Vandross,1996
2190,Do You Want To/Cant Hang, Xscape Featuring MC Lyte,1996,Lets Get The Mood Right, Johnny Gill,1996
2191,Macarena, Los Del Mar,1996,Leavin, The Tony Rich Project,1996
2192,This Is Your Night, Amber,1996,"Touch Myself (From ""Fled"")", T-Boz,1996
2193,Heartspark Dollarsign, Everclear,1996,"Whats Love Got To Do With It (From ""Supercop"")", Warren G Featuring Adina Howard,1996
2194,I Love You Always Forever, Donna Lewis,1996,I Dont Need Your Love, Angelina,1996
2195,Scary Kisses, Voice Of The Beehive,1996,Naked Eye, Luscious Jackson,1996
2196,Mr. Ice Cream Man, Master P,1996,Music Makes Me High, Lost Boyz,1996
2197,Feel The Music, Planet Soul Featuring Brenda Dee,1996,Use Your Heart, SWV,1996
2198,Dreamer, Livin' Joy,1996,Everything Falls Apart/Small Wonders, dog's eye view,1996
2199,Esa Nena Linda, Artie The 1 Man Party,1996,Just The Way (Playas Play), Alfonzo Hunter,1996
2200,Have You Ever Really Loved A Woman?, Bryan Adams,1995,One Sweet Day, Mariah Carey & Boyz II Men,1995
2201,Total Eclipse Of The Heart, Nicki French,1995,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")", Whitney Houston,1995
2202,Dont Take It Personal (Just One Of Dem Days), Monica,1995,Hey Lover, LL Cool J,1995
2203,Water Runs Dry, Boyz II Men,1995,"Gangstas Paradise (From ""Dangerous Minds"")", Coolio Featuring L.V.,1995
2204,One More Chance/Stay With Me, The Notorious B.I.G.,1995,Fantasy, Mariah Carey,1995
2205,Scream/Childhood, Michael Jackson & Janet Jackson,1995,Diggin On You, TLC,1995
2206,This Is How We Do It, Montell Jordan,1995,I Got Id/Long Road, Pearl Jam,1995
2207,Waterfalls, TLC,1995,Name, Goo Goo Dolls,1995
2208,Ill Be There For You/Youre All I Need To Get By, Method Man Featuring Mary J. Blige,1995,Youll See, Madonna,1995
2209,Freak Like Me, Adina Howard,1995,Breakfast At Tiffanys, Deep Blue Something,1995
2210,Let Her Cry, Hootie & The Blowfish,1995,Runaway, Janet Jackson,1995
2211,I Know, Dionne Farris,1995,Before You Walk Out Of My Life/Like This And Like That, Monica,1995
2212,I Believe, Blessid Union Of Souls,1995,You Remind Me Of Something, R. Kelly,1995
2213,Someone To Love, Jon B. Featuring Babyface,1995,Missing, Everything But The Girl,1995
2214,Run-Around, Blues Traveler,1995,Tell Me, Groove Theory,1995
2215,"Shy Guy (From ""Bad Boys"")", Diana King,1995,One Of Us, Joan Osborne,1995
2216,Freekn You, Jodeci,1995,Beautiful Life, Ace Of Base,1995
2217,I Can Love You Like That, All-4-One,1995,Back For Good, Take That,1995
2218,"Cant You See (From ""New Jersey Drive"")", Total Featuring The Notorious B.I.G.,1995,As I Lay Me Down, Sophie B. Hawkins,1995
2219,"Keep Their Heads Ringin (From ""Friday"")", Dr. Dre,1995,Only Wanna Be With You, Hootie & The Blowfish,1995
2220,Red Light Special, TLC,1995,Carnival, Natalie Merchant,1995
2221,Every Little Thing I Do, Soul For Real,1995,Kiss From A Rose, Seal,1995
2222,"Hold Me, Thrill Me, Kiss Me, Kill Me (From ""Batman Forever"")", U2,1995,Who Can I Run To, Xscape,1995
2223,This Aint A Love Song, Bon Jovi,1995,Roll To Me, Del Amitri,1995
2224,Hold On, Jamie Walters,1995,Id Lie For You (And Thats The Truth), Meat Loaf,1995
2225,Run Away, Real McCoy,1995,Anything, 3T,1995
2226,Boombastic/In The Summertime, Shaggy,1995,Time, Hootie & The Blowfish,1995
2227,Dear Mama/Old School, 2Pac,1995,Bullet With Butterfly Wings, The Smashing Pumpkins,1995
2228,In The House Of Stone And Light, Martin Page,1995,Soon As I Get Home, Faith Evans,1995
2229,"No More ""I Love Yous""", Annie Lennox,1995,Run-Around, Blues Traveler,1995
2230,Give It 2 You, Da Brat,1995,Dreaming Of You, Selena,1995
2231,December, Collective Soul,1995,Tonites Tha Night, Kris Kross,1995
2232,Hold My Hand, Hootie & The Blowfish,1995,Be My Lover, La Bouche,1995
2233,I Like, Kut Klose,1995,Blessed, Elton John,1995
2234,Believe, Elton John,1995,Set U Free, Planet Soul,1995
2235,My Love Is For Real, Paula Abdul,1995,Love U 4 Life, Jodeci,1995
2236,Take A Bow, Madonna,1995,Too Hot, Coolio,1995
2237,Feel Me Flow, Naughty By Nature,1995,December, Collective Soul,1995
2238,Come And Get Your Love, Real McCoy,1995,I Can Love You Like That, All-4-One,1995
2239,"Ask Of You (From ""Higher Learning"")", Raphael Saadiq,1995,The World I Know, Collective Soul,1995
2240,Best Friend, Brandy,1995,Hook, Blues Traveler,1995
2241,Dream About You/Funky Melody, Stevie B,1995,"Natural One (From ""Kids"")", Folk Implosion,1995
2242,Candy Rain, Soul For Real,1995,Waterfalls, TLC,1995
2243,You Gotta Be, Des'ree,1995,Wonder, Natalie Merchant,1995
2244,"Crazy Love (From ""Jasons Lyric"")", Brian McKnight,1995,No One Else, Total,1995
2245,Another Night, Real McCoy,1995,Pretty Girl, Jon B,1995
2246,Cotton Eye Joe, Rednex,1995,Cell Therapy, Goodie Mob,1995
2247,Cant Stop Lovin You, Van Halen,1995,Danger, Blahzay Blahzay,1995
2248,Big Poppa/Warning, The Notorious B.I.G.,1995,Ill Be There For You/This House Is Not A Home, The Rembrandts,1995
2249,Strong Enough, Sheryl Crow,1995,Do You Sleep?, Lisa Loeb & Nine Stories,1995
2250,Wonderful, Adam Ant,1995,Just Tah Let U Know, Eazy-E,1995
2251,Leave Virginia Alone, Rod Stewart,1995,Where Ever You Are, Terry Ellis,1995
2252,When You Say Nothing At All, Alison Krauss + Union Station,1995,Comedown, Bush,1995
2253,I Got 5 On It, Luniz,1995,You Are Not Alone, Michael Jackson,1995
2254,"Colors Of The Wind (From ""Pocahontas"")", Vanessa Williams,1995,Get Together, Big Mountain,1995
2255,Like The Way I Do/If I Wanted To, Melissa Etheridge,1995,Brokenhearted, Brandy,1995
2256,Human Nature, Madonna,1995,Nobody Knows, The Tony Rich Project,1995
2257,Any Man Of Mine/Whose Bed Have Your Boots Been Under?, Shania Twain,1995,Come With Me, Shai,1995
2258,Baby Baby, Corona,1995,When Love & Hate Collide, Def Leppard,1995
2259,I Saw You Dancing, Yaki-Da,1995,Sexual Healing, Max-A-Million,1995
2260,Close To You, Fun Factory,1995,Cruisin, D'Angelo,1995
2261,I Live My Life For You, Firehouse,1995,Ridin Low, L.A.D.,1995
2262,Strange Currencies, R.E.M.,1995,I Remember, Boyz II Men,1995
2263,Sick Of Myself, Matthew Sweet,1995,"I Like It, I Love It", Tim McGraw,1995
2264,Somebodys Crying, Chris Isaak,1995,Throw Your Hands Up, L.V.,1995
2265,Grapevyne, Brownstone,1995,Macarena (Bayside Boys Mix), Los Del Rio,1995
2266,Shimmy Shimmy Ya, Ol' Dirty Bastard,1995,Hooked On You, Silk,1995
2267,Id Rather Be Alone, IV Xample,1995,Incarcerated Scarfaces/Ice Cream, Raekwon,1995
2268,I Wanna Love Like That, Tony Thompson,1995,Magic Carpet Ride, The Mighty Dub Katz,1995
2269,I Kissed A Girl, Jill Sobule,1995,I Will Remember You (Live), Sarah McLachlan,1995
2270,"Freedom (From ""Panther"")", Various Artists,1995,Rosealia, Better Than Ezra,1995
2271,Sprinkle Me, E-40 (Featuring Suga T),1995,We Got It, Immature (Featuring Smooth),1995
2272,Freak Me Baby," Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock",1995,Runnin, The Pharcyde,1995
2273,I Wish, Skee-Lo,1995,Sentimental, Deborah Cox,1995
2274,Feels So Good, Xscape,1995,"I Miss You (Come Back Home) (From ""New York Undercover"")", Monifah,1995
2275,Connection, Elastica,1995,Solitude, Edwin McCain,1995
2276,So In Love With You, U.N.V.,1995,East 1999, Bone Thugs-N-Harmony,1995
2277,The I.N.C. Ride, Masta Ace Incorporated,1995,Aint Nuthin But A She Thing, Salt-N-Pepa,1995
2278,Survival Of The Fittest, Mobb Deep,1995,Automatic Lover (Call For Love), Real McCoy,1995
2279,Hes Mine, MoKenStef,1995,Just A Girl, No Doubt,1995
2280,Move It Like This, K7,1995,Fast Life, Kool G Rap,1995
2281,Ill Be Around, Rappin' 4-Tay Featuring The Spinners,1995,"Beware Of My Crew (From ""A Thin Line Between Love And Hate"")", L.B.C. Crew Feat. Tray D & South Sentrell,1995
2282,Im Goin Down, Mary J. Blige,1995,Throw Your Set In The Air, Cypress Hill,1995
2283,Thank You, Boyz II Men,1995,Boom Boom Boom, The Outhere Brothers,1995
2284,Froggy Style, Nuttin' Nyce,1995,Hurricane, The Click,1995
2285,Emotions, H-Town,1995,(If Youre Not In It For Love) Im Outta Here!/The Woman In Me, Shania Twain,1995
2286,Kiss From A Rose, Seal,1995,"A Girl Like You (From ""Empire Records"")", Edwyn Collins,1995
2287,Mind Blowin, Smooth,1995,Gold, Prince,1995
2288,Foe Life, Mack 10,1995,Wings Of The Morning, Capleton,1995
2289,Big Yellow Taxi, Amy Grant,1995,A Mover La Colita, Artie The 1 Man Party,1995
2290,Think Of You, Usher,1995,Weve Got It Goin On, Backstreet Boys,1995
2291,Until The End Of Time, Foreigner,1995,Friends Of P., The Rentals,1995
2292,I Love You/You Bring Me Joy, Mary J. Blige,1995,Already Missing You," Gerald Levert & Eddie Levert, Sr.",1995
2293,Joy, BLACKstreet,1995,Heaven, Solo,1995
2294,Lick It, Roula,1995,"The Riddler (From ""Batman Forever"")", Method Man,1995
2295,Fire, Subway,1995,It Matters To Me, Faith Hill,1995
2296,Mr. Personality, Gillette,1995,Sometimes I Miss You So Much (Dedicated To The Christ Consciousness), P.M. Dawn,1995
2297,As I Lay Me Down, Sophie B. Hawkins,1995,"Summertime In The LBC (From ""The Show"")", The Dove Shack,1995
2298,Crimson And Clover, SF Spanish Fly,1995,1st Of Tha Month, Bone Thugs-N-Harmony,1995
2299,I Like It (I Wanna Be Where You Are), Grand Puba,1995,Runaway, The Corrs,1995
2300,I Swear, All-4-One,1994,"Here Comes The Hotstepper (From ""Ready To Wear"")", Ini Kamoze,1994
2301,"Any Time, Any Place/And On And On", Janet Jackson,1994,On Bended Knee, Boyz II Men,1994
2302,"Regulate (From ""Above The Rim"")", Warren G & Nate Dogg,1994,Another Night, Real McCoy,1994
2303,Dont Turn Around, Ace Of Base,1994,Always, Bon Jovi,1994
2304,"Ill Remember (From ""With Honors"")", Madonna,1994,Creep, TLC,1994
2305,Back & Forth, Aaliyah,1994,Ill Make Love To You, Boyz II Men,1994
2306,You Mean The World To Me, Toni Braxton,1994,I Wanna Be Down, Brandy,1994
2307,The Sign, Ace Of Base,1994,You Want This/70s Love Groove, Janet Jackson,1994
2308,"Baby I Love Your Way (From ""Reality Bites"")", Big Mountain,1994,Secret, Madonna,1994
2309,"Stay (I Missed You) (From ""Reality Bites"")", Lisa Loeb & Nine Stories,1994,Before I Let You Go, BLACKstreet,1994
2310,The Most Beautiful Girl In The World, Prince,1994,Im The Only One, Melissa Etheridge,1994
2311,Anytime You Need A Friend, Mariah Carey,1994,All I Wanna Do, Sheryl Crow,1994
2312,If You Go, Jon Secada,1994,Tootsee Roll, 69 Boyz,1994
2313,Return To Innocence, Enigma,1994,Sukiyaki, 4PM,1994
2314,Your Bodys Callin, R. Kelly,1994,"Turn The Beat Around (From ""The Specialist"")", Gloria Estefan,1994
2315,"Can You Feel The Love Tonight (From ""The Lion King"")", Elton John,1994,You Gotta Be, Des'ree,1994
2316,Dont Take The Girl, Tim McGraw,1994,Short Dick Man, 20 Fingers Featuring Gillette,1994
2317,Shine, Collective Soul,1994,Take A Bow, Madonna,1994
2318,Im Ready, Tevin Campbell,1994,100% Pure Love, Crystal Waters,1994
2319,Funkdafied, Da Brat,1994,Practice What You Preach, Barry White,1994
2320,"Anything (From ""Above The Rim"")", SWV,1994,Ill Stand By You, Pretenders,1994
2321,Beautiful In My Eyes, Joshua Kadison,1994,Never Lie, Immature,1994
2322,I Miss You, Aaron Hall,1994,The Sweetest Days, Vanessa Williams,1994
2323,Misled, Celine Dion,1994,"December 1963 (Oh, What A Night)", The 4 Seasons,1994
2324,Bump N Grind, R. Kelly,1994,"Whats The Frequency, Kenneth?", R.E.M.,1994
2325,"Ill Take You There (From ""Threesome"")", General Public,1994,The Rhythm Of The Night, Corona,1994
2326,Wild Night, John Mellencamp With Me'Shell Ndegeocello,1994,Living In Danger, Ace Of Base,1994
2327,Got Me Waiting, Heavy D & The Boyz,1994,Every Day Of The Week, Jade,1994
2328,Always, Erasure,1994,Wild Night, John Mellencamp With Me'Shell Ndegeocello,1994
2329,Crazy, Aerosmith,1994,I Belong To You/How Many Ways, Toni Braxton,1994
2330,Loser, Beck,1994,Hold My Hand, Hootie & The Blowfish,1994
2331,Come To My Window, Melissa Etheridge,1994,Flava In Ya Ear, Craig Mack,1994
2332,Whatta Man, Salt-N-Pepa Featuring En Vogue,1994,When Can I See You, Babyface,1994
2333,Moving On Up, M People,1994,You Dont Know How It Feels, Tom Petty,1994
2334,Fantastic Voyage, Coolio,1994,"New Age Girl (From ""Dumb And Dumber"")", Deadeye Dick,1994
2335,Now And Forever, Richard Marx,1994,"Shame (From ""A Low Down Dirty Shame"")", Zhane,1994
2336,Mmm Mmm Mmm Mmm, Crash Test Dummies,1994,Be Happy, Mary J. Blige,1994
2337,Sweet Potatoe Pie, Domino,1994,Thuggish Ruggish Bone, Bone Thugs-N-Harmony,1994
2338,Without You/Never Forget You, Mariah Carey,1994,Constantly, Immature,1994
2339,Back In The Day, Ahmad,1994,Playaz Club, Rappin' 4-Tay,1994
2340,The Power Of Love, Celine Dion,1994,When We Dance, Sting,1994
2341,Willing To Forgive, Aretha Franklin,1994,Come To My Window, Melissa Etheridge,1994
2342,Pumps And A Bump, M.C. Hammer,1994,I Never Seen A Man Cry (aka I Seen A Man Die), Scarface,1994
2343,Objects In The Rear View Mirror May Appear Closer Than..., Meat Loaf,1994,Fa All Yall, Da Brat,1994
2344,Ease My Mind, Arrested Development,1994,Bring The Pain, Method Man,1994
2345,(Shes) Some Kind Of Wonderful, Huey Lewis & The News,1994,Far Behind, Candlebox,1994
2346,100% Pure Love, Crystal Waters,1994,"U Will Know (From ""Jasons Lyric"")", B.M.U. (Black Men United),1994
2347,"The Place Where You Belong (From ""Beverly Hills Cop III"")", Shai,1994,"Circle Of Life (From ""The Lion King"")", Elton John,1994
2348,Found Out About You, Gin Blossoms,1994,Blind Man, Aerosmith,1994
2349,Sending My Love, Zhane,1994,The Most Beautifullest Thing In This World, Keith Murray,1994
2350,Love Sneakin Up On You, Bonnie Raitt,1994,Dance Naked, John Mellencamp,1994
2351,Bizarre Love Triangle, FRENTE!,1994,Do You See, Warren G,1994
2352,Prayer For The Dying, Seal,1994,Mental Picture, Jon Secada,1994
2353,And Our Feelings, Babyface,1994,Foolin Around, Changing Faces,1994
2354,Love On My Mind, Xscape,1994,I Miss You, N2U,1994
2355,"(Meet) The Flintstones (From ""The Flintstones"")", The B.C. 52's,1994,Lucas With The Lid Off, Lucas,1994
2356,Part Time Lover/Im Still In Love With You, H-Town/Al B. Sure!,1994,Somethings Always Wrong, Toad The Wet Sprocket,1994
2357,"Streets Of Philadelphia (From ""Philadelphia"")", Bruce Springsteen,1994,If You Love Me, Brownstone,1994
2358,You Know How We Do It, Ice Cube,1994,"Girl, Youll Be A Woman Soon (From ""Pulp Fiction"")", Urge Overkill,1994
2359,Fall Down, Toad The Wet Sprocket,1994,Lucky One, Amy Grant,1994
2360,Selling The Drama, Live,1994,Juicy/Unbelievable, The Notorious B.I.G.,1994
2361,Born To Roll, Masta Ace Incorporated,1994,Doll Parts, Hole,1994
2362,When Can I See You, Babyface,1994,House Of Love, Amy Grant With Vince Gill,1994
2363,I Wish, Gabrielle,1994,At Your Best (You Are Love), Aaliyah,1994
2364,Worker Man, Patra,1994,Black Coffee, Heavy D & The Boyz,1994
2365,I Need Your Love, Boston,1994,Endless Love, Luther Vandross & Mariah Carey,1994
2366,How Do You Like It?, Keith Sweat,1994,Always And Forever, Luther Vandross,1994
2367,Backwater, Meat Puppets,1994,Fade Into You, Mazzy Star,1994
2368,Dreams, The Cranberries,1994,Get Up On It, Keith Sweat (Featuring Kut Klose),1994
2369,Maybe Love Will Change Your Mind, Stevie Nicks,1994,Get Over It, Eagles,1994
2370,Night In My Veins, Pretenders,1994,Kitty Kitty, 69 Boyz,1994
2371,Players Ball, OutKast,1994,Get Ready For This, 2 Unlimited,1994
2372,Im Not Over You, CeCe Peniston,1994,(I Could Only) Whisper Your Name," Harry Connick, Jr.",1994
2373,"Crooklyn (From ""Crooklyn"")", The Crooklyn Dodgers,1994,Missing You, Steve Perry,1994
2374,Feenin, Jodeci,1994,Mishale, Andru Donalds,1994
2375,Whenever You Come Around, Vince Gill,1994,"I Can Go Deep (From ""A Low Down Dirty Shame"")", Silk,1994
2376,Comin On Strong, Sudden Change,1994,Out Of Tears, The Rolling Stones,1994
2377,Indian Outlaw, Tim McGraw,1994,But Its Alright, Huey Lewis & The News,1994
2378,Always In My Heart, Tevin Campbell,1994,In The House Of Stone And Light, Martin Page,1994
2379,Possession, Sarah McLachlan,1994,Supernova, Liz Phair,1994
2380,Ill Remember You, Atlantic Starr,1994,Tic Toc, Lords Of The Underground,1994
2381,Take It Back, Pink Floyd,1994,Biological Didnt Bother, Shaquille O'Neal,1994
2382,Regular Thang, Ovis,1994,Pickup Man, Joe Diffie,1994
2383,Cleopatras Cat, Spin Doctors,1994,She Dont Use Jelly, The Flaming Lips,1994
2384,I Swear, John Michael Montgomery,1994,Picture Postcards From L.A., Joshua Kadison,1994
2385,You, Candlebox,1994,Till You Love Me, Reba McEntire,1994
2386,Closer, Nine Inch Nails,1994,Body & Soul, Anita Baker,1994
2387,Girls & Boys, Blur,1994,Back Up Off Me!, Doctor Dre & Ed Lover,1994
2388,Leaving Las Vegas, Sheryl Crow,1994,You Suck, The Murmurs,1994
2389,Your Love Is So Divine, Miranda,1994,I See It Now, Tracy Lawrence,1994
2390,Somethin To Ride To (Fonky Expedition), The Conscious Daughters,1994,Pimp Of The Year, Dru Down,1994
2391,Whats Up, DJ Miko,1994,Undone - The Sweater Song, Weezer,1994
2392,Low, Cracker,1994,Promise Me, Lil Suzy,1994
2393,Booti Call, BLACKstreet,1994,Breakdown, Fu-Schnickens,1994
2394,I Got Cha Opin, Black Moon,1994,Bad Reputation, Freedy Johnston,1994
2395,"The More You Ignore Me, The Closer I Get", Morrissey,1994,Ill Take Her, Ill Al Skratch Featuring Brian McKnight,1994
2396,Its Over Now, Cause And Effect,1994,Whutcha Want?, Nine,1994
2397,Completely, Michael Bolton,1994,Redneck Stomp, Jeff Foxworthy,1994
2398,Bucktown, Smif-N-Wessun,1994,Cant Help Myself, Gerald Levert,1994
2399,C.R.E.A.M. (Cash Rules Everything Around Me), Wu-Tang Clan,1994,Tremor Christ/Spin The Black Circle, Pearl Jam,1994
2400,Thats The Way Love Goes, Janet Jackson,1993,Hero, Mariah Carey,1993
2401,Weak, SWV,1993,Again, Janet Jackson,1993
2402,Knockin Da Boots, H-Town,1993,All That She Wants, Ace Of Base,1993
2403,Freak Me, Silk,1993,Id Do Anything For Love (But I Wont Do That), Meat Loaf,1993
2404,Have I Told You Lately, Rod Stewart,1993,All For Love, Bryan Adams/Rod Stewart/Sting,1993
2405,Show Me Love, Robin S.,1993,Gangsta Lean, DRS,1993
2406,Come Undone, Duran Duran,1993,Shoop, Salt-N-Pepa,1993
2407,Whoomp! (There It Is), Tag Team,1993,Breathe Again, Toni Braxton,1993
2408,Dre Day, Dr. Dre,1993,Whats My Name?, Snoop Dogg,1993
2409,"Bad Boys (Theme From ""Cops"")", Inner Circle,1993,Said I Loved You...But I Lied, Michael Bolton,1993
2410,Ill Never Get Over You (Getting Over Me), Expose,1993,Please Forgive Me, Bryan Adams,1993
2411,Looking Through Patient Eyes, P.M. Dawn,1993,Can We Talk, Tevin Campbell,1993
2412,"Cant Help Falling In Love (From ""Sliver"")", UB40,1993,Whoomp! (There It Is), Tag Team,1993
2413,Im So Into You, SWV,1993,Just Kickin It, Xscape,1993
2414,Dazzey Duks, Duice,1993,Keep Ya Head Up, 2Pac,1993
2415,"Nuthin But A ""G"" Thang", Dr. Dre,1993,Linger, The Cranberries,1993
2416,More And More, Captain Hollywood Project,1993,Hey Mr. D.J., Zhane,1993
2417,"Love Is (From ""Beverly Hills, 90210"")", Vanessa Williams/Brian McKnight,1993,Because The Night," 10,000 Maniacs",1993
2418,"Girl, Ive Been Hurt", Snow,1993,Getto Jam, Domino,1993
2419,Whats Up, 4 Non Blondes,1993,Mr. Vain, Culture Beat,1993
2420,Dont Walk Away, Jade,1993,Never Keeping Secrets, Babyface,1993
2421,Lately, Jodeci,1993,What Is Love, Haddaway,1993
2422,"Whoot, There It Is", 95 South,1993,Cry For You, Jodeci,1993
2423,Ditty, Paperboy,1993,"I Can See Clearly Now (From ""Cool Runnings"")", Jimmy Cliff,1993
2424,Three Little Pigs, Green Jelly,1993,Come Baby Come, K7,1993
2425,Cant Get Enough Of Your Love, Taylor Dayne,1993,Dreamlover, Mariah Carey,1993
2426,Connected, Stereo MC's,1993,Sex Me (Parts I & II), R. Kelly,1993
2427,Livin On The Edge, Aerosmith,1993,The Power Of Love, Celine Dion,1993
2428,In These Arms, Bon Jovi,1993,All About Soul, Billy Joel,1993
2429,Slam, Onyx,1993,"Never Shouldve Let You Go (From ""Sister Act 2"")", Hi-Five,1993
2430,Regret, New Order,1993,Time And Chance, Color Me Badd,1993
2431,Two Princes, Spin Doctors,1993,Dreams, Gabrielle,1993
2432,Wannagirl, Jeremy Jordan,1993,Jessie, Joshua Kadison,1993
2433,If I Had No Loot, Tony Toni Tone,1993,U.N.I.T.Y., Queen Latifah,1993
2434,It Was A Good Day, Ice Cube,1993,Cryin, Aerosmith,1993
2435,By The Time This Night Is Over, Kenny G With Peabo Bryson,1993,Anniversary, Tony Toni Tone,1993
2436,Angel, Jon Secada,1993,Both Sides Of The Story, Phil Collins,1993
2437,Sleeping Satellite, Tasmin Archer,1993,The River Of Dreams, Billy Joel,1993
2438,Im Gonna Be (500 Miles), The Proclaimers,1993,(I Know I Got) Skillz, Shaquille O'Neal,1993
2439,Comforter, Shai,1993,Sweat (A La La La La Long), Inner Circle,1993
2440,"I Dont Wanna Fight (From ""Whats Love Got To Do With It"")", Tina Turner,1993,No Rain, Blind Melon,1993
2441,I Have Nothing, Whitney Houston,1993,Understanding, Xscape,1993
2442,Hip Hop Hooray, Naughty By Nature,1993,If, Janet Jackson,1993
2443,Love No Limit, Mary J. Blige,1993,Slow And Easy, Zapp & Roger,1993
2444,A Bad Goodbye, Clint Black With Wynonna,1993,Amazing, Aerosmith,1993
2445,Hero, David Crosby & Phil Collins,1993,Found Out About You, Gin Blossoms,1993
2446,Baby Im Yours, Shai,1993,Wild World, Mr. Big,1993
2447,Im Gonna Get You, Bizarre Inc,1993,Another Sad Love Song, Toni Braxton,1993
2448,Dedicated, R. Kelly & Public Announcement,1993,Real Muthaphuckkin Gs, Eazy-E,1993
2449,Who Is It, Michael Jackson,1993,"Two Steps Behind (From ""Last Action Hero"")", Def Leppard,1993
2450,Six Feet Deep, Geto Boys,1993,Higher Ground, UB40,1993
2451,Informer, Snow,1993,Reason To Believe, Rod Stewart,1993
2452,One Last Cry, Brian McKnight,1993,Let It Snow, Boyz II Men,1993
2453,Passin Me By, The Pharcyde,1993,Cantaloop (Flip Fantasia), US3,1993
2454,Nothin My Love Cant Fix, Joey Lawrence,1993,Award Tour, A Tribe Called Quest,1993
2455,Fields Of Gold, Sting,1993,True Love, Elton John & Kiki Dee,1993
2456,Runaway Train, Soul Asylum,1993,Come Inside, Intro,1993
2457,Back Seat (Of My Jeep), LL Cool J,1993,Goody Goody, Lisette Melendez,1993
2458,Somebody To Love, George Michael & Queen,1993,Miss You In A Heartbeat, Def Leppard,1993
2459,The Floor, Johnny Gill,1993,Ill Be Loving You, Collage,1993
2460,Somethings Goin On, U.N.V.,1993,"Soul To Squeeze (From ""Coneheads"")", Red Hot Chili Peppers,1993
2461,One Woman, Jade,1993,Hopelessly, Rick Astley,1993
2462,Touch My Light, Big Mountain,1993,Freakit, Das EFX,1993
2463,Good Times With Bad Boys, Boy Krazy,1993,Everybody Hurts, R.E.M.,1993
2464,ABC-123, Levert,1993,God Blessed Texas, Little Texas,1993
2465,If I Could, Regina Belle,1993,"Stay (Faraway, So Close!)", U2,1993
2466,Down With The King, Run-D.M.C.,1993,Into Your Arms, The Lemonheads,1993
2467,Deeper, Boss,1993,As Long As I Can Dream, Expose,1993
2468,Cry No More, II D Extreme,1993,Cannonball, The Breeders,1993
2469,Cats In The Cradle, Ugly Kid Joe,1993,Yours, Shai,1993
2470,Girl U For Me/Lose Control, Silk,1993,Give It Up, The Goodmen,1993
2471,I Love The Way You Love Me, John Michael Montgomery,1993,Sentimental, Kenny G,1993
2472,Little Miracles (Happen Every Day), Luther Vandross,1993,"Indo Smoke (From ""Poetic Justice"")", Mista Grimm,1993
2473,Love Dont Love You, En Vogue,1993,Really Doe, Ice Cube,1993
2474,Dur Dur Detre BeBe! (Its Tough To Be A Baby), Jordy,1993,Method Man, Wu-Tang Clan,1993
2475,Walking In My Shoes, Depeche Mode,1993,Looking For Mr. Do Right, Jade,1993
2476,So Alone, Men At Large,1993,Send Me A Lover, Taylor Dayne,1993
2477,Dont Take Away My Heaven, Aaron Neville,1993,Let Me Ride, Dr. Dre,1993
2478,If I Ever Lose My Faith In You, Sting,1993,Better Than You, Lisa Keith,1993
2479,"The Crying Game (From ""The Crying Game"")", Boy George,1993,Fast As You, Dwight Yoakam,1993
